additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2024-09-05,BATO,100,560,O:SPY240905P00560000,SPY
,OPASPS,put,,american,2024-09-05,BATO,100,561,O:SPY240905P00561000,SPY
,OPASPS,put,,american,2024-09-06,BATO,100,560,O:SPY240906P00560000,SPY
,OPASPS,put,,american,2024-09-06,BATO,100,561,O:SPY240906P00561000,SPY
,OPASPS,put,,american,2024-09-09,BATO,100,560,O:SPY240909P00560000,SPY
,OPASPS,put,,american,2024-09-09,BATO,100,561,O:SPY240909P00561000,SPY
,OPASPS,put,,american,2024-09-10,BATO,100,560,O:SPY240910P00560000,SPY
,OPASPS,put,,american,2024-09-10,BATO,100,561,O:SPY240910P00561000,SPY
,OPASPS,put,,american,2024-09-11,BATO,100,560,O:SPY240911P00560000,SPY
,OPASPS,put,,american,2024-09-11,BATO,100,561,O:SPY240911P00561000,SPY
,OPASPS,put,,american,2024-09-12,BATO,100,560,O:SPY240912P00560000,SPY
,OPASPS,put,,american,2024-09-12,BATO,100,561,O:SPY240912P00561000,SPY
