additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-04-17,BATO,100,407,O:SPY230417C00407000,SPY
,OCASPS,call,,american,2023-04-18,BATO,100,407,O:SPY230418C00407000,SPY
,OCASPS,call,,american,2023-04-19,BATO,100,407,O:SPY230419C00407000,SPY
,OCASPS,call,,american,2023-04-20,BATO,100,407,O:SPY230420C00407000,SPY
,OCASPS,call,,american,2023-04-21,BATO,100,407,O:SPY230421C00407000,SPY
,OCASPS,call,,american,2023-04-24,BATO,100,407,O:SPY230424C00407000,SPY
