additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2023-03-20,BATO,100,390,O:SPY230320P00390000,SPY
,OPASPS,put,,american,2023-03-21,BATO,100,390,O:SPY230321P00390000,SPY
,OPASPS,put,,american,2023-03-22,BATO,100,390,O:SPY230322P00390000,SPY
,OPASPS,put,,american,2023-03-23,BATO,100,390,O:SPY230323P00390000,SPY
,OPASPS,put,,american,2023-03-24,BATO,100,390,O:SPY230324P00390000,SPY
,OPASPS,put,,american,2023-03-27,BATO,100,390,O:SPY230327P00390000,SPY
