additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-05-09,BATO,100,413.0,O:SPY230509C00413000,SPY
,OCASPS,call,,american,2023-05-10,BATO,100,413.0,O:SPY230510C00413000,SPY
,OCASPS,call,,american,2023-05-11,BATO,100,413.0,O:SPY230511C00413000,SPY
,OCASPS,call,,american,2023-05-12,BATO,100,412.5,O:SPY230512C00412500,SPY
,OCASPS,call,,american,2023-05-12,BATO,100,413.0,O:SPY230512C00413000,SPY
,OCASPS,call,,american,2023-05-15,BATO,100,413.0,O:SPY230515C00413000,SPY
,OCASPS,call,,american,2023-05-16,BATO,100,413.0,O:SPY230516C00413000,SPY
