additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2023-09-20,BATO,100,447.0,O:SPY230920P00447000,SPY
,OPASPS,put,,american,2023-09-21,BATO,100,447.0,O:SPY230921P00447000,SPY
,OPASPS,put,,american,2023-09-22,BATO,100,447.0,O:SPY230922P00447000,SPY
,OPASPS,put,,american,2023-09-22,BATO,100,447.5,O:SPY230922P00447500,SPY
,OPASPS,put,,american,2023-09-25,BATO,100,447.0,O:SPY230925P00447000,SPY
,OPASPS,put,,american,2023-09-26,BATO,100,447.0,O:SPY230926P00447000,SPY
,OPASPS,put,,american,2023-09-27,BATO,100,447.0,O:SPY230927P00447000,SPY
