additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-11-14,BATO,100,434,O:SPY231114C00434000,SPY
,OCASPS,call,,american,2023-11-14,BATO,100,435,O:SPY231114C00435000,SPY
,OCASPS,call,,american,2023-11-15,BATO,100,434,O:SPY231115C00434000,SPY
,OCASPS,call,,american,2023-11-15,BATO,100,435,O:SPY231115C00435000,SPY
,OCASPS,call,,american,2023-11-16,BATO,100,434,O:SPY231116C00434000,SPY
,OCASPS,call,,american,2023-11-16,BATO,100,435,O:SPY231116C00435000,SPY
,OCASPS,call,,american,2023-11-17,BATO,100,434,O:SPY231117C00434000,SPY
,OCASPS,call,,american,2023-11-17,BATO,100,435,O:SPY231117C00435000,SPY
,OCASPS,call,,american,2023-11-20,BATO,100,434,O:SPY231120C00434000,SPY
,OCASPS,call,,american,2023-11-20,BATO,100,435,O:SPY231120C00435000,SPY
,OCASPS,call,,american,2023-11-21,BATO,100,434,O:SPY231121C00434000,SPY
,OCASPS,call,,american,2023-11-21,BATO,100,435,O:SPY231121C00435000,SPY
