additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-01-17,BATO,100,386,O:SPY230117C00386000,SPY
,OCASPS,call,,american,2023-01-17,BATO,100,387,O:SPY230117C00387000,SPY
,OCASPS,call,,american,2023-01-18,BATO,100,386,O:SPY230118C00386000,SPY
,OCASPS,call,,american,2023-01-18,BATO,100,387,O:SPY230118C00387000,SPY
,OCASPS,call,,american,2023-01-19,BATO,100,386,O:SPY230119C00386000,SPY
,OCASPS,call,,american,2023-01-19,BATO,100,387,O:SPY230119C00387000,SPY
,OCASPS,call,,american,2023-01-20,BATO,100,386,O:SPY230120C00386000,SPY
,OCASPS,call,,american,2023-01-20,BATO,100,387,O:SPY230120C00387000,SPY
,OCASPS,call,,american,2023-01-23,BATO,100,386,O:SPY230123C00386000,SPY
,OCASPS,call,,american,2023-01-23,BATO,100,387,O:SPY230123C00387000,SPY
,OCASPS,call,,american,2023-01-24,BATO,100,386,O:SPY230124C00386000,SPY
,OCASPS,call,,american,2023-01-24,BATO,100,387,O:SPY230124C00387000,SPY
