additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-12-22,BATO,100,470,O:SPY231222C00470000,SPY
,OCASPS,call,,american,2023-12-26,BATO,100,470,O:SPY231226C00470000,SPY
,OCASPS,call,,american,2023-12-27,BATO,100,470,O:SPY231227C00470000,SPY
,OCASPS,call,,american,2023-12-28,BATO,100,470,O:SPY231228C00470000,SPY
,OCASPS,call,,american,2023-12-29,BATO,100,470,O:SPY231229C00470000,SPY
