additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2024-08-22,BATO,100,547.0,O:SPY240822P00547000,SPY
,OPASPS,put,,american,2024-08-22,BATO,100,548.0,O:SPY240822P00548000,SPY
,OPASPS,put,,american,2024-08-23,BATO,100,547.0,O:SPY240823P00547000,SPY
,OPASPS,put,,american,2024-08-23,BATO,100,547.5,O:SPY240823P00547500,SPY
,OPASPS,put,,american,2024-08-23,BATO,100,548.0,O:SPY240823P00548000,SPY
,OPASPS,put,,american,2024-08-26,BATO,100,547.0,O:SPY240826P00547000,SPY
,OPASPS,put,,american,2024-08-26,BATO,100,548.0,O:SPY240826P00548000,SPY
,OPASPS,put,,american,2024-08-27,BATO,100,547.0,O:SPY240827P00547000,SPY
,OPASPS,put,,american,2024-08-27,BATO,100,548.0,O:SPY240827P00548000,SPY
,OPASPS,put,,american,2024-08-28,BATO,100,547.0,O:SPY240828P00547000,SPY
,OPASPS,put,,american,2024-08-28,BATO,100,548.0,O:SPY240828P00548000,SPY
,OPASPS,put,,american,2024-08-29,BATO,100,547.0,O:SPY240829P00547000,SPY
,OPASPS,put,,american,2024-08-29,BATO,100,548.0,O:SPY240829P00548000,SPY
