additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-03-23,BATO,100,389,O:SPY230323C00389000,SPY
,OCASPS,call,,american,2023-03-24,BATO,100,389,O:SPY230324C00389000,SPY
,OCASPS,call,,american,2023-03-27,BATO,100,389,O:SPY230327C00389000,SPY
,OCASPS,call,,american,2023-03-28,BATO,100,389,O:SPY230328C00389000,SPY
,OCASPS,call,,american,2023-03-29,BATO,100,389,O:SPY230329C00389000,SPY
,OCASPS,call,,american,2023-03-30,BATO,100,389,O:SPY230330C00389000,SPY
