additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2024-03-14,BATO,100,511,O:SPY240314C00511000,SPY
,OCASPS,call,,american,2024-03-14,BATO,100,512,O:SPY240314C00512000,SPY
,OCASPS,call,,american,2024-03-15,BATO,100,511,O:SPY240315C00511000,SPY
,OCASPS,call,,american,2024-03-15,BATO,100,512,O:SPY240315C00512000,SPY
,OCASPS,call,,american,2024-03-18,BATO,100,511,O:SPY240318C00511000,SPY
,OCASPS,call,,american,2024-03-18,BATO,100,512,O:SPY240318C00512000,SPY
,OCASPS,call,,american,2024-03-19,BATO,100,511,O:SPY240319C00511000,SPY
,OCASPS,call,,american,2024-03-19,BATO,100,512,O:SPY240319C00512000,SPY
,OCASPS,call,,american,2024-03-20,BATO,100,511,O:SPY240320C00511000,SPY
,OCASPS,call,,american,2024-03-20,BATO,100,512,O:SPY240320C00512000,SPY
,OCASPS,call,,american,2024-03-21,BATO,100,511,O:SPY240321C00511000,SPY
,OCASPS,call,,american,2024-03-21,BATO,100,512,O:SPY240321C00512000,SPY
