additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2024-04-10,BATO,100,521,O:SPY240410P00521000,SPY
,OPASPS,put,,american,2024-04-11,BATO,100,521,O:SPY240411P00521000,SPY
,OPASPS,put,,american,2024-04-12,BATO,100,521,O:SPY240412P00521000,SPY
,OPASPS,put,,american,2024-04-15,BATO,100,521,O:SPY240415P00521000,SPY
,OPASPS,put,,american,2024-04-16,BATO,100,521,O:SPY240416P00521000,SPY
,OPASPS,put,,american,2024-04-17,BATO,100,521,O:SPY240417P00521000,SPY
