additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2023-09-01,BATO,100,440,O:SPY230901P00440000,SPY
,OPASPS,put,,american,2023-09-05,BATO,100,440,O:SPY230905P00440000,SPY
,OPASPS,put,,american,2023-09-06,BATO,100,440,O:SPY230906P00440000,SPY
,OPASPS,put,,american,2023-09-07,BATO,100,440,O:SPY230907P00440000,SPY
,OPASPS,put,,american,2023-09-08,BATO,100,440,O:SPY230908P00440000,SPY
