open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_60_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell
402.25,402.45,402.25,402.45,10219.0,402.3345,2023-01-26 12:50:00+00:00,102,2023-01-26,12:50:00,402.21027819790504,402.0618674978598,401.88638122969087,0.0990584532976454,402.28261504288145,401.4901474165003,402.24,0.0522076372314984,0.0055191532489644,True,False,False,False,True,False
402.58,402.58,402.4,402.42,12668.0,402.454,2023-01-26 12:55:00+00:00,61,2023-01-26,12:55:00,402.48143581206983,402.3512200103142,402.1329823617135,0.1411666522349508,402.69764897065335,401.5683157527737,402.58,-0.0397436534353341,0.0048574689546986,False,False,False,False,False,True
401.87,401.9498,401.39,401.41,244818.0,401.6965,2023-01-26 14:50:00+00:00,2623,2023-01-26,14:50:00,402.094549111265,402.4865531449972,402.8263265203885,0.3586127974779715,404.2607777103004,401.3918753304766,401.88,-0.1169503334328581,-0.0050440555324492,False,True,True,False,False,False
401.495,401.89,401.46,401.8601,309871.0,401.6472,2023-01-26 14:52:00+00:00,2573,2023-01-26,14:52:00,401.8887218272289,402.228867807808,402.62174166408215,0.3641432997238698,404.0783148629776,401.1651684651867,401.52,0.0847031281131716,-0.0033825858363732,False,False,False,True,False,False
401.4,401.78,401.35,401.48,41491.0,401.5114,2023-01-31 13:37:00+00:00,295,2023-01-31,13:37:00,401.19563590506493,400.93981200840307,400.66487714767544,0.2666868251129409,401.7316244481272,399.5981298472237,401.38,0.0249140465394446,0.0071254715783091,True,False,False,False,True,False
401.47,401.51,401.21,401.27,30415.0,401.2833,2023-01-31 13:38:00+00:00,180,2023-01-31,13:38:00,401.22042393671,400.99984618869337,400.7225078955159,0.2683524838572945,401.7959178309451,399.6490979600867,401.48,-0.0523064660755296,0.006253697143717,True,False,False,False,False,True
412.34,412.75,411.5,412.12,374799.0,412.116,2023-02-03 13:31:00+00:00,1481,2023-02-03,13:31:00,413.22864936390766,413.78549686014424,414.1694803757882,0.3494603030310059,415.56732158791226,412.7716391636642,412.22,-0.0242588908835143,-0.0072318320995646,False,True,True,False,False,False
412.95,413.49,412.61,412.61,114930.0,412.9854,2023-02-03 13:33:00+00:00,549,2023-02-03,13:33:00,412.9493997172924,413.4400433526585,413.9115701035364,0.4130629234854824,415.56382179747834,412.25931840959447,412.9,-0.0702349237103326,-0.0050869430752252,False,True,False,True,False,False
409.9,409.96,409.9,409.93,26969.0,409.9529,2023-02-06 12:41:00+00:00,79,2023-02-06,12:41:00,409.8001727653319,409.6776480740714,409.558061194874,0.091611167422616,409.9245058645644,409.1916165251835,409.88,0.0121986923001881,0.0054184304166419,True,False,False,False,True,False
409.91,409.99,409.88,409.99,38854.0,409.9035,2023-02-06 12:43:00+00:00,141,2023-02-06,12:43:00,409.890076784592,409.7704916859486,409.6303856946701,0.091504078598914,409.9964020090658,409.2643693802745,409.92,0.0170765027322387,0.0063150793637449,True,False,False,False,False,True
