,timestamp,open,high,low,close,volume,vwap,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
0,2023-01-03 11:12:00+00:00,385.6,385.6,385.5,385.5,1883.0,385.5189,10,2023-01-03,11:12:00,385.72680301994814,385.83321899722694,385.9038158422248,0.0931849189710565,386.2765555181091,385.5310761663406,True,False,False,False,2.39,0.0
1,2023-01-03 11:16:00+00:00,385.45,385.53,385.45,385.53,1045.0,385.5072,10,2023-01-03,11:16:00,385.50764010270586,385.61772350528,385.74997827229697,0.0908690114076713,386.1134543179277,385.38650222666627,False,True,False,False,2.05,0.0
2,2023-01-03 11:44:00+00:00,384.69,384.69,383.93,384.02,15577.0,384.2972,114,2023-01-03,11:44:00,384.80166630536235,385.1053297598028,385.3201690927214,0.1405691907314003,385.882445855647,384.7578923297958,True,False,False,False,2.25,0.0
3,2023-01-03 11:52:00+00:00,384.12,384.12,384.12,384.12,472.0,384.0758,11,2023-01-03,11:52:00,384.07060304437937,384.2425806145312,384.6038107905841,0.1674193149480113,385.2734880503761,383.93413353079205,False,True,False,False,2.15,0.0
4,2023-01-03 11:53:00+00:00,383.97,383.97,383.75,383.79,6308.0,383.8724,42,2023-01-03,11:53:00,383.97706869625296,384.1602932300709,384.52630500100463,0.177548349200611,385.23649839780705,383.8161116042022,True,False,False,False,2.53,0.0
5,2023-01-03 11:54:00+00:00,383.98,383.98,383.88,383.96,857.0,383.955,11,2023-01-03,11:54:00,383.9713791308353,384.123876279149,384.4723711913851,0.1781709317405803,385.1850549183475,383.7596874644228,False,True,False,False,2.61,0.0
6,2023-01-03 12:01:00+00:00,383.72,383.72,383.4,383.49,11714.0,383.5667,104,2023-01-03,12:01:00,383.8059563460206,383.9288740588874,384.18415560155233,0.1818486009798426,384.9115500054717,383.45676119763294,True,False,False,False,2.53,0.0
7,2023-01-03 12:05:00+00:00,383.55,383.73,383.55,383.7,5462.0,383.6697,51,2023-01-03,12:05:00,383.6683370560041,383.7590794823003,383.9961830829228,0.1742085095518407,384.6930171211302,383.2993490447154,False,True,False,False,2.49,0.0
8,2023-01-03 14:31:00+00:00,384.13,384.13,383.59,383.96,329484.0,383.8307,2728,2023-01-03,14:31:00,384.2480337973567,384.44322620455495,384.605950784234,0.2253410660690059,385.50731504851,383.7045865199579,True,False,False,False,2.41,0.0
9,2023-01-03 14:32:00+00:00,383.99,384.42,383.99,384.1545,339697.0,384.1747,3024,2023-01-03,14:32:00,384.21685586490446,384.39073053099946,384.5629554714498,0.2370740127655574,385.51125152251205,383.6146594203876,False,True,False,False,1.88,0.0
