open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
384.6,384.92,384.6,384.92,8072.0,384.7352,2023-01-05 12:34:00+00:00,97,2023-01-05,12:34:00,384.6564780020756,384.55807557781424,384.4620776066898,0.0941710297348859,384.8387617256293,384.08539348775025,384.6,0.0832033281331235,0.0105365957345244,True,False,False,False,True,False,0.0,8.64
384.53,384.59,384.53,384.56,4328.0,384.5646,2023-01-05 12:42:00+00:00,38,2023-01-05,12:42:00,384.6370093535333,384.6470217501978,384.5869580497026,0.0836341356651686,384.9214945923633,384.2524215070419,384.62,-0.0155998128022469,0.0013038170289846,False,False,False,False,False,True,0.0,8.208
384.17,384.17,384.01,384.08,12838.0,384.0871,2023-01-05 12:46:00+00:00,63,2023-01-05,12:46:00,384.3043475266239,384.4345652416533,384.4867535645914,0.0986640262126319,384.8814096694419,384.0920974597409,384.17,-0.0234271286149443,-0.0059276919865471,False,True,True,False,False,False,3.35,0.0
383.67,384.2,383.64,384.1,21201.0,383.8808,2023-01-05 13:14:00+00:00,118,2023-01-05,13:14:00,383.81110963472975,383.7639363611145,383.8193319266712,0.2151240573373503,384.6798281560206,382.95883569732183,383.75,0.0912052117263902,0.0011769290612376,False,False,False,True,False,False,3.1825,0.0
379.96,379.96,379.2,379.35,405533.0,379.4086,2023-01-05 14:40:00+00:00,3542,2023-01-05,14:40:00,379.958201198842,380.3091237464979,380.6720818815937,0.3356981165492698,382.0148743477908,379.32928941539666,379.93,-0.1526597004711352,-0.0262634445363312,False,True,True,False,False,False,6.35,0.0
379.56,379.88,379.48,379.88,518821.0,381.7398,2023-01-05 14:51:00+00:00,2532,2023-01-05,14:51:00,379.5326053664767,379.5347523330587,379.82776507786355,0.3616158154450978,381.2742283396439,378.3813018160832,379.5798,0.0790874540742205,-0.0149531362041146,False,True,False,True,False,False,6.46,0.0
379.3,379.3,379.3,379.3,1542.0,379.2996,2023-01-06 11:42:00+00:00,11,2023-01-06,11:42:00,379.5347057854675,379.6377571028056,379.6974562961501,0.091035935344844,380.06160003752944,379.33331255477066,379.53,-0.0606012699918218,-0.0065838351767125,False,True,True,False,False,False,8.7,0.0
379.62,379.62,379.62,379.62,419.0,379.6195,2023-01-06 11:52:00+00:00,5,2023-01-06,11:52:00,379.560577201893,379.5621403831397,379.6097838995891,0.0838418039751471,379.9451511154897,379.2744166836885,379.6,0.005268703898836,-0.0049992716885463,False,False,False,True,False,False,9.44,0.0
381.18,381.98,380.51,380.56,305073.0,381.3728,2023-01-06 13:31:00+00:00,1202,2023-01-06,13:31:00,379.98941806020537,379.5610530556131,379.30300263131875,0.5174955764767185,381.3729849372256,377.2330203254118,381.15,-0.1547947002492391,0.0169377120302802,True,False,False,False,True,False,0.0,2.91
383.12,383.2,382.89,382.95,30841.0,383.0362,2023-01-06 14:07:00+00:00,228,2023-01-06,14:07:00,383.23108939082624,383.3107250911673,383.09190191194017,0.4492105023939893,384.88874392151615,381.2950599023642,383.11,-0.0417634621910221,-0.0004917063701261,False,False,False,False,False,True,0.0,3.33
