timestamp,open,high,low,close,volume,vwap,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,call_buy,call_sell,put_buy,put_sell
2023-01-03 11:43:00+00:00,130.7,130.7,130.2,130.39,4261.0,130.5428,127,2023-01-03,11:43:00,130.66955139240963,130.75785639880098,130.81230947353004,0.0930020207121441,131.1843175563786,130.44030139068147,True,False,False,False
2023-01-03 11:54:00+00:00,130.15,130.29,130.15,130.24,3191.0,130.2187,54,2023-01-03,11:54:00,130.1592579150507,130.2297802095666,130.39491240099102,0.1005130781723667,130.7969647136805,129.99286008830154,False,True,False,False
2023-01-03 14:28:00+00:00,130.87,130.89,130.33,130.52,53553.0,130.5298,627,2023-01-03,14:28:00,130.81866094307608,130.95869009644508,131.01512889393882,0.1416187273284463,131.58160380325262,130.44865398462505,True,False,False,False
2023-01-03 14:35:00+00:00,129.83,130.22,129.83,129.8811,502570.0,130.0497,10200,2023-01-03,14:35:00,129.89868353942103,130.11101174661536,130.42186673923632,0.2458692895422231,131.4053438974052,129.43838958106744,False,True,False,False
2023-01-03 14:52:00+00:00,128.3926,128.43,127.68,127.685,721548.0,128.0145,7831,2023-01-03,14:52:00,128.4016989628322,128.89946121833296,129.43244434571662,0.3631407159321491,130.8850072094452,127.97988148198802,True,False,False,False
2023-01-03 15:23:00+00:00,125.59,125.97,125.56,125.94,282326.0,125.7344,3472,2023-01-03,15:23:00,125.77346956273672,125.85985758700014,126.21700796089796,0.2956724274989398,127.39969767089372,125.0343182509022,False,True,False,False
2023-01-04 10:42:00+00:00,126.02,126.02,125.91,125.91,2477.0,125.9692,130,2023-01-04,10:42:00,126.04552617056508,126.16157326225854,126.26165913811003,0.0846259829259964,126.60016306981402,125.92315520640604,True,False,False,False
2023-01-04 10:47:00+00:00,126.05,126.1,126.04,126.1,3531.0,126.0761,68,2023-01-04,10:47:00,126.04059776208696,126.0872920001146,126.1822267498503,0.0855490170056166,126.52442281787276,125.84003068182784,False,True,False,False
2023-01-04 12:00:00+00:00,126.25,126.25,126.03,126.14,17896.0,126.1563,373,2023-01-04,12:00:00,126.31441627753028,126.37001828417404,126.3819840398599,0.0639246752865852,126.63768274100624,126.12628533871356,True,False,False,False
2023-01-04 12:11:00+00:00,125.77,125.95,125.77,125.93,7441.0,125.8416,103,2023-01-04,12:11:00,125.85621271902085,125.92131659937596,126.04844824253604,0.0800447299717492,126.36862716242304,125.72826932264904,False,True,False,False
2023-01-04 12:48:00+00:00,125.63,125.69,125.53,125.62,11092.0,125.5795,169,2023-01-04,12:48:00,125.76039248815682,125.85082159786076,125.9094457279818,0.0908156785227287,126.2727084420727,125.54618301389088,True,False,False,False
