timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-06-30 09:30:00-04:00,2.16,2.27,2.15,2.27,202,2.224,40,,09:30:00
2023-06-30 09:31:00-04:00,2.27,2.27,2.12,2.18,114,2.1687,29,,09:31:00
2023-06-30 09:32:00-04:00,2.18,2.18,2.03,2.08,124,2.0858,28,,09:32:00
2023-06-30 09:33:00-04:00,2.09,2.09,1.99,1.99,362,2.0272,45,,09:33:00
2023-06-30 09:34:00-04:00,2.01,2.1,1.98,2.03,23,2.0304,11,,09:34:00
2023-06-30 09:35:00-04:00,2.01,2.03,2.0,2.03,11,2.02,9,,09:35:00
2023-06-30 09:36:00-04:00,2.04,2.04,1.99,2.0,49,2.0055,17,,09:36:00
2023-06-30 09:37:00-04:00,2.0,2.02,1.98,1.99,164,1.9904,21,,09:37:00
2023-06-30 09:38:00-04:00,1.99,2.01,1.98,2.0,66,1.9858,7,,09:38:00
2023-06-30 09:39:00-04:00,2.06,2.06,1.99,1.99,31,2.01,14,,09:39:00
2023-06-30 09:40:00-04:00,1.95,1.97,1.91,1.92,557,1.9577,13,,09:40:00
2023-06-30 09:41:00-04:00,1.92,1.92,1.83,1.91,158,1.8575,18,,09:41:00
2023-06-30 09:42:00-04:00,1.93,1.94,1.88,1.88,19,1.9111,10,,09:42:00
2023-06-30 09:43:00-04:00,1.86,1.88,1.83,1.83,72,1.8658,10,,09:43:00
2023-06-30 09:44:00-04:00,1.82,1.84,1.8,1.82,23,1.8157,13,,09:44:00
2023-06-30 09:45:00-04:00,1.8,1.83,1.79,1.83,21,1.8086,7,,09:45:00
2023-06-30 09:46:00-04:00,1.85,1.91,1.84,1.91,33,1.8555,8,,09:46:00
2023-06-30 09:47:00-04:00,1.94,1.96,1.83,1.83,24,1.8946,14,,09:47:00
2023-06-30 09:48:00-04:00,1.81,1.82,1.75,1.75,39,1.7821,11,,09:48:00
2023-06-30 09:49:00-04:00,1.75,1.76,1.72,1.75,250,1.7576,7,,09:49:00
2023-06-30 09:50:00-04:00,1.71,1.77,1.71,1.77,65,1.7449,13,,09:50:00
2023-06-30 09:51:00-04:00,1.79,1.79,1.74,1.74,40,1.744,7,,09:51:00
2023-06-30 09:52:00-04:00,1.73,1.73,1.71,1.71,78,1.7121,6,,09:52:00
2023-06-30 09:53:00-04:00,1.73,1.76,1.73,1.76,56,1.7393,5,,09:53:00
2023-06-30 09:54:00-04:00,1.79,1.79,1.74,1.74,55,1.7607,12,,09:54:00
2023-06-30 09:55:00-04:00,1.73,1.73,1.64,1.64,39,1.6874,12,,09:55:00
2023-06-30 09:56:00-04:00,1.62,1.69,1.62,1.69,53,1.6351,7,,09:56:00
2023-06-30 09:57:00-04:00,1.69,1.7,1.69,1.69,32,1.6938,5,,09:57:00
2023-06-30 09:58:00-04:00,1.68,1.68,1.64,1.64,45,1.6564,5,,09:58:00
2023-06-30 09:59:00-04:00,1.67,1.71,1.67,1.71,17,1.6812,4,,09:59:00
2023-06-30 10:00:00-04:00,1.7,1.7,1.66,1.66,113,1.6964,10,,10:00:00
2023-06-30 10:01:00-04:00,1.67,1.67,1.64,1.64,21,1.66,4,,10:01:00
2023-06-30 10:02:00-04:00,1.63,1.63,1.59,1.59,14,1.6171,6,,10:02:00
2023-06-30 10:03:00-04:00,1.58,1.61,1.57,1.59,113,1.5858,16,,10:03:00
2023-06-30 10:04:00-04:00,1.59,1.6,1.57,1.59,38,1.59,5,,10:04:00
2023-06-30 10:05:00-04:00,1.58,1.58,1.53,1.54,43,1.5465,14,,10:05:00
2023-06-30 10:06:00-04:00,1.54,1.55,1.53,1.55,56,1.5489,7,,10:06:00
2023-06-30 10:07:00-04:00,1.54,1.56,1.54,1.55,16,1.5569,7,,10:07:00
2023-06-30 10:08:00-04:00,1.53,1.58,1.53,1.57,66,1.5671,10,,10:08:00
2023-06-30 10:09:00-04:00,1.54,1.54,1.53,1.54,18,1.5367,5,,10:09:00
2023-06-30 10:10:00-04:00,1.51,1.52,1.48,1.48,141,1.493,14,,10:10:00
2023-06-30 10:11:00-04:00,1.49,1.49,1.48,1.48,26,1.4888,4,,10:11:00
2023-06-30 10:12:00-04:00,1.48,1.51,1.48,1.5,68,1.4894,11,,10:12:00
2023-06-30 10:13:00-04:00,1.49,1.5,1.47,1.5,50,1.485,10,,10:13:00
2023-06-30 10:14:00-04:00,1.49,1.52,1.44,1.52,125,1.453,15,,10:14:00
2023-06-30 10:15:00-04:00,1.49,1.49,1.45,1.45,8,1.455,6,,10:15:00
2023-06-30 10:16:00-04:00,1.45,1.46,1.43,1.46,362,1.4441,31,,10:16:00
2023-06-30 10:17:00-04:00,1.46,1.47,1.42,1.44,29,1.4455,8,,10:17:00
2023-06-30 10:18:00-04:00,1.45,1.45,1.43,1.44,8,1.4437,6,,10:18:00
2023-06-30 10:19:00-04:00,1.43,1.44,1.42,1.42,101,1.4278,9,,10:19:00
2023-06-30 10:20:00-04:00,1.42,1.42,1.37,1.4,179,1.3911,17,,10:20:00
2023-06-30 10:21:00-04:00,1.44,1.44,1.44,1.44,5,1.44,2,,10:21:00
2023-06-30 10:22:00-04:00,1.43,1.46,1.42,1.46,53,1.436,17,,10:22:00
2023-06-30 10:23:00-04:00,1.48,1.49,1.48,1.49,13,1.4815,5,,10:23:00
2023-06-30 10:24:00-04:00,1.5,1.52,1.49,1.51,610,1.499,19,,10:24:00
2023-06-30 10:25:00-04:00,1.53,1.53,1.51,1.52,19,1.5168,5,,10:25:00
2023-06-30 10:26:00-04:00,1.46,1.46,1.46,1.46,3,1.46,2,,10:26:00
2023-06-30 10:27:00-04:00,1.48,1.48,1.46,1.46,28,1.4736,6,,10:27:00
2023-06-30 10:28:00-04:00,1.48,1.48,1.43,1.43,45,1.4573,8,,10:28:00
2023-06-30 10:29:00-04:00,1.45,1.45,1.43,1.43,6,1.44,3,,10:29:00
2023-06-30 10:30:00-04:00,1.43,1.44,1.43,1.44,12,1.4325,4,,10:30:00
2023-06-30 10:31:00-04:00,1.41,1.43,1.41,1.43,26,1.4288,4,,10:31:00
2023-06-30 10:32:00-04:00,1.43,1.43,1.39,1.4,61,1.4051,10,,10:32:00
2023-06-30 10:33:00-04:00,1.36,1.39,1.35,1.37,308,1.3683,19,,10:33:00
2023-06-30 10:34:00-04:00,1.38,1.45,1.38,1.44,75,1.4392,6,,10:34:00
2023-06-30 10:35:00-04:00,1.45,1.5,1.45,1.5,274,1.4934,10,,10:35:00
2023-06-30 10:36:00-04:00,1.5,1.59,1.46,1.56,308,1.5474,22,,10:36:00
2023-06-30 10:37:00-04:00,1.59,1.59,1.54,1.55,173,1.5748,13,,10:37:00
2023-06-30 10:38:00-04:00,1.58,1.62,1.58,1.61,160,1.5989,19,,10:38:00
2023-06-30 10:39:00-04:00,1.6,1.6,1.54,1.55,31,1.5797,8,,10:39:00
2023-06-30 10:40:00-04:00,1.55,1.55,1.5,1.5,166,1.5139,7,,10:40:00
2023-06-30 10:41:00-04:00,1.5,1.51,1.5,1.51,13,1.5085,2,,10:41:00
2023-06-30 10:42:00-04:00,1.52,1.56,1.52,1.56,304,1.5212,9,,10:42:00
2023-06-30 10:43:00-04:00,1.55,1.55,1.53,1.54,8,1.5438,4,,10:43:00
2023-06-30 10:44:00-04:00,1.57,1.57,1.56,1.56,20,1.565,3,,10:44:00
2023-06-30 10:45:00-04:00,1.56,1.56,1.56,1.56,3,1.56,1,,10:45:00
2023-06-30 10:46:00-04:00,1.55,1.55,1.55,1.55,3,1.55,1,,10:46:00
2023-06-30 10:47:00-04:00,1.56,1.56,1.56,1.56,19,1.56,2,,10:47:00
2023-06-30 10:48:00-04:00,1.59,1.59,1.56,1.58,38,1.575,4,,10:48:00
2023-06-30 10:49:00-04:00,1.6,1.7,1.6,1.69,105,1.671,15,,10:49:00
2023-06-30 10:50:00-04:00,1.68,1.7,1.62,1.62,28,1.6814,11,,10:50:00
2023-06-30 10:51:00-04:00,1.6,1.6,1.51,1.51,52,1.5492,13,,10:51:00
2023-06-30 10:52:00-04:00,1.5,1.52,1.49,1.5,51,1.5061,8,,10:52:00
2023-06-30 10:53:00-04:00,1.5,1.5,1.49,1.49,9,1.4944,3,,10:53:00
2023-06-30 10:54:00-04:00,1.47,1.47,1.46,1.47,14,1.4671,5,,10:54:00
2023-06-30 10:55:00-04:00,1.45,1.45,1.43,1.43,19,1.4321,4,,10:55:00
2023-06-30 10:56:00-04:00,1.43,1.47,1.43,1.47,28,1.4443,6,,10:56:00
2023-06-30 10:57:00-04:00,1.48,1.51,1.46,1.51,11,1.4782,6,,10:57:00
2023-06-30 10:58:00-04:00,1.51,1.51,1.46,1.46,931,1.4698,17,,10:58:00
2023-06-30 10:59:00-04:00,1.48,1.49,1.48,1.48,60,1.481,9,,10:59:00
2023-06-30 11:00:00-04:00,1.47,1.51,1.47,1.5,46,1.4839,6,,11:00:00
2023-06-30 11:01:00-04:00,1.51,1.51,1.5,1.5,30,1.5093,3,,11:01:00
2023-06-30 11:02:00-04:00,1.47,1.47,1.43,1.43,43,1.4556,6,,11:02:00
2023-06-30 11:03:00-04:00,1.48,1.48,1.46,1.46,54,1.4711,4,,11:03:00
2023-06-30 11:04:00-04:00,1.48,1.48,1.48,1.48,6,1.48,2,,11:04:00
2023-06-30 11:05:00-04:00,1.46,1.46,1.41,1.42,58,1.435,13,,11:05:00
2023-06-30 11:06:00-04:00,1.46,1.49,1.46,1.48,62,1.4761,7,,11:06:00
2023-06-30 11:07:00-04:00,1.46,1.46,1.46,1.46,4,1.46,1,,11:07:00
2023-06-30 11:08:00-04:00,1.46,1.46,1.46,1.46,4,1.46,1,,11:08:00
2023-06-30 11:09:00-04:00,1.42,1.42,1.4,1.41,94,1.409,19,,11:09:00
2023-06-30 11:10:00-04:00,1.4,1.4,1.36,1.37,75,1.3813,7,,11:10:00
2023-06-30 11:11:00-04:00,1.36,1.36,1.36,1.36,22,1.36,3,,11:11:00
2023-06-30 11:12:00-04:00,1.38,1.41,1.38,1.4,360,1.3809,11,,11:12:00
2023-06-30 11:13:00-04:00,1.4,1.43,1.4,1.43,52,1.4142,6,,11:13:00
2023-06-30 11:14:00-04:00,1.42,1.42,1.4,1.4,20,1.41,2,,11:14:00
2023-06-30 11:15:00-04:00,1.38,1.38,1.35,1.35,28,1.3704,6,,11:15:00
2023-06-30 11:16:00-04:00,1.35,1.35,1.35,1.35,20,1.35,2,,11:16:00
2023-06-30 11:17:00-04:00,1.35,1.39,1.35,1.39,81,1.3619,10,,11:17:00
2023-06-30 11:18:00-04:00,1.38,1.39,1.38,1.39,10,1.381,4,,11:18:00
