timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-09-18 09:30:00-04:00,2.74,2.77,2.62,2.77,32,2.7306,12,,09:30:00
2023-09-18 09:31:00-04:00,2.78,2.78,2.71,2.72,24,2.7696,4,,09:31:00
2023-09-18 09:32:00-04:00,2.64,2.67,2.64,2.67,7,2.6486,2,,09:32:00
2023-09-18 09:33:00-04:00,2.64,2.73,2.64,2.73,5,2.658,2,,09:33:00
2023-09-18 09:34:00-04:00,2.8,2.87,2.8,2.87,19,2.8563,7,,09:34:00
2023-09-18 09:35:00-04:00,2.9,2.92,2.88,2.89,39,2.8956,14,,09:35:00
2023-09-18 09:36:00-04:00,2.91,3.0,2.88,2.88,22,2.975,7,,09:36:00
2023-09-18 09:37:00-04:00,2.88,2.88,2.88,2.88,1,2.88,1,,09:37:00
2023-09-18 09:38:00-04:00,2.97,2.98,2.92,2.95,12,2.9508,5,,09:38:00
2023-09-18 09:39:00-04:00,2.85,2.9,2.85,2.9,20,2.87,4,,09:39:00
2023-09-18 09:40:00-04:00,2.9,2.92,2.82,2.84,23,2.8696,6,,09:40:00
2023-09-18 09:41:00-04:00,2.79,2.79,2.75,2.75,49,2.7671,4,,09:41:00
2023-09-18 09:42:00-04:00,2.75,2.75,2.64,2.64,8,2.6813,5,,09:42:00
2023-09-18 09:43:00-04:00,2.57,2.57,2.54,2.54,6,2.565,2,,09:43:00
2023-09-18 09:44:00-04:00,2.56,2.63,2.56,2.63,3,2.5967,3,,09:44:00
2023-09-18 09:45:00-04:00,2.58,2.58,2.58,2.58,4,2.58,2,,09:45:00
2023-09-18 09:46:00-04:00,2.57,2.57,2.5,2.55,21,2.5186,8,,09:46:00
2023-09-18 09:47:00-04:00,2.52,2.52,2.52,2.52,26,2.52,1,,09:47:00
2023-09-18 09:48:00-04:00,2.52,2.52,2.52,2.52,26,2.52,1,,09:48:00
2023-09-18 09:49:00-04:00,2.52,2.52,2.52,2.52,26,2.52,1,,09:49:00
2023-09-18 09:50:00-04:00,2.52,2.57,2.52,2.57,9,2.5489,5,,09:50:00
2023-09-18 09:51:00-04:00,2.63,2.63,2.63,2.63,4,2.63,1,,09:51:00
2023-09-18 09:52:00-04:00,2.68,2.76,2.68,2.75,24,2.6946,4,,09:52:00
2023-09-18 09:53:00-04:00,2.76,2.76,2.76,2.76,1,2.76,1,,09:53:00
2023-09-18 09:54:00-04:00,2.71,2.71,2.62,2.66,46,2.6917,3,,09:54:00
2023-09-18 09:55:00-04:00,2.56,2.56,2.56,2.56,4,2.56,1,,09:55:00
2023-09-18 09:56:00-04:00,2.58,2.58,2.56,2.56,35,2.5714,2,,09:56:00
2023-09-18 09:57:00-04:00,2.57,2.6,2.57,2.6,114,2.5961,2,,09:57:00
2023-09-18 09:58:00-04:00,2.57,2.6,2.57,2.6,114,2.5961,2,,09:58:00
2023-09-18 09:59:00-04:00,2.62,2.65,2.62,2.65,3,2.64,2,,09:59:00
2023-09-18 10:00:00-04:00,2.59,2.59,2.59,2.59,5,2.59,1,,10:00:00
2023-09-18 10:01:00-04:00,2.59,2.59,2.59,2.59,5,2.59,1,,10:01:00
2023-09-18 10:02:00-04:00,2.67,2.67,2.67,2.67,3,2.67,3,,10:02:00
2023-09-18 10:03:00-04:00,2.72,2.73,2.72,2.73,2,2.725,2,,10:03:00
2023-09-18 10:04:00-04:00,2.67,2.67,2.67,2.67,2,2.67,1,,10:04:00
