timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-07-05 09:30:00-04:00,2.05,2.12,2.05,2.12,32,2.085,3,,09:30:00
2023-07-05 09:31:00-04:00,2.05,2.12,2.05,2.12,32,2.085,3,,09:31:00
2023-07-05 09:32:00-04:00,2.12,2.12,2.12,2.12,2,2.12,1,,09:32:00
2023-07-05 09:33:00-04:00,2.12,2.12,2.12,2.12,2,2.12,1,,09:33:00
2023-07-05 09:34:00-04:00,2.18,2.18,2.16,2.16,26,2.1792,2,,09:34:00
2023-07-05 09:35:00-04:00,2.18,2.18,2.16,2.16,26,2.1792,2,,09:35:00
2023-07-05 09:36:00-04:00,2.27,2.28,2.27,2.28,9,2.2789,2,,09:36:00
2023-07-05 09:37:00-04:00,2.27,2.28,2.27,2.28,9,2.2789,2,,09:37:00
2023-07-05 09:38:00-04:00,2.35,2.35,2.35,2.35,1,2.35,1,,09:38:00
2023-07-05 09:39:00-04:00,2.3,2.3,2.3,2.3,2,2.3,1,,09:39:00
2023-07-05 09:40:00-04:00,2.3,2.3,2.3,2.3,2,2.3,1,,09:40:00
2023-07-05 09:41:00-04:00,2.48,2.48,2.46,2.48,85,2.4745,11,,09:41:00
2023-07-05 09:42:00-04:00,2.48,2.5,2.48,2.5,48,2.4881,6,,09:42:00
2023-07-05 09:43:00-04:00,2.58,2.58,2.49,2.49,13,2.5662,3,,09:43:00
2023-07-05 09:44:00-04:00,2.51,2.6,2.51,2.58,32,2.5619,9,,09:44:00
2023-07-05 09:45:00-04:00,2.55,2.6,2.53,2.6,20,2.5555,4,,09:45:00
2023-07-05 09:46:00-04:00,2.61,2.61,2.56,2.56,269,2.5751,7,,09:46:00
2023-07-05 09:47:00-04:00,2.59,2.59,2.5,2.5,3,2.5567,3,,09:47:00
2023-07-05 09:48:00-04:00,2.53,2.53,2.52,2.52,21,2.5205,2,,09:48:00
2023-07-05 09:49:00-04:00,2.47,2.47,2.47,2.47,17,2.47,2,,09:49:00
2023-07-05 09:50:00-04:00,2.64,2.66,2.6,2.62,33,2.6439,6,,09:50:00
2023-07-05 09:51:00-04:00,2.6,2.6,2.6,2.6,1,2.6,1,,09:51:00
2023-07-05 09:52:00-04:00,2.63,2.63,2.59,2.59,46,2.5939,3,,09:52:00
2023-07-05 09:53:00-04:00,2.62,2.65,2.62,2.65,4,2.635,3,,09:53:00
2023-07-05 09:54:00-04:00,2.61,2.61,2.61,2.61,1,2.61,1,,09:54:00
2023-07-05 09:55:00-04:00,2.6,2.6,2.59,2.6,27,2.5989,3,,09:55:00
2023-07-05 09:56:00-04:00,2.6,2.6,2.59,2.6,27,2.5989,3,,09:56:00
2023-07-05 09:57:00-04:00,2.63,2.63,2.62,2.62,2,2.625,2,,09:57:00
2023-07-05 09:58:00-04:00,2.56,2.56,2.54,2.54,388,2.55,5,,09:58:00
2023-07-05 09:59:00-04:00,2.59,2.59,2.59,2.59,7,2.59,1,,09:59:00
2023-07-05 10:00:00-04:00,2.56,2.56,2.56,2.56,1,2.56,1,,10:00:00
2023-07-05 10:01:00-04:00,2.57,2.6,2.57,2.6,3,2.58,2,,10:01:00
2023-07-05 10:02:00-04:00,2.63,2.63,2.62,2.62,13,2.6223,3,,10:02:00
2023-07-05 10:03:00-04:00,2.63,2.64,2.63,2.64,9,2.6311,4,,10:03:00
2023-07-05 10:04:00-04:00,2.68,2.68,2.68,2.68,4,2.68,1,,10:04:00
2023-07-05 10:05:00-04:00,2.58,2.58,2.58,2.58,1,2.58,1,,10:05:00
2023-07-05 10:06:00-04:00,2.6,2.6,2.6,2.6,1,2.6,1,,10:06:00
2023-07-05 10:07:00-04:00,2.68,2.68,2.67,2.67,368,2.675,14,,10:07:00
2023-07-05 10:08:00-04:00,2.7,2.7,2.7,2.7,15,2.7,1,,10:08:00
2023-07-05 10:09:00-04:00,2.65,2.65,2.65,2.65,22,2.65,3,,10:09:00
2023-07-05 10:10:00-04:00,2.62,2.62,2.57,2.57,4,2.5825,2,,10:10:00
2023-07-05 10:11:00-04:00,2.5,2.5,2.5,2.5,2,2.5,1,,10:11:00
2023-07-05 10:12:00-04:00,2.5,2.5,2.5,2.5,2,2.5,1,,10:12:00
2023-07-05 10:13:00-04:00,2.5,2.5,2.5,2.5,2,2.5,1,,10:13:00
2023-07-05 10:14:00-04:00,2.5,2.5,2.5,2.5,2,2.5,1,,10:14:00
2023-07-05 10:15:00-04:00,2.65,2.66,2.64,2.64,5,2.654,5,,10:15:00
2023-07-05 10:16:00-04:00,2.72,2.72,2.66,2.66,16,2.6775,5,,10:16:00
2023-07-05 10:17:00-04:00,2.72,2.72,2.66,2.66,16,2.6775,5,,10:17:00
2023-07-05 10:18:00-04:00,2.67,2.67,2.67,2.67,1,2.67,1,,10:18:00
2023-07-05 10:19:00-04:00,2.67,2.67,2.67,2.67,1,2.67,1,,10:19:00
2023-07-05 10:20:00-04:00,2.73,2.73,2.73,2.73,1,2.73,1,,10:20:00
2023-07-05 10:21:00-04:00,2.74,2.74,2.74,2.74,23,2.74,2,,10:21:00
2023-07-05 10:22:00-04:00,2.74,2.74,2.74,2.74,23,2.74,2,,10:22:00
2023-07-05 10:23:00-04:00,2.71,2.71,2.71,2.71,3,2.71,2,,10:23:00
2023-07-05 10:24:00-04:00,2.71,2.71,2.71,2.71,3,2.71,2,,10:24:00
2023-07-05 10:25:00-04:00,2.67,2.67,2.67,2.67,1,2.67,1,,10:25:00
2023-07-05 10:26:00-04:00,2.67,2.67,2.67,2.67,1,2.67,1,,10:26:00
2023-07-05 10:27:00-04:00,2.7,2.73,2.7,2.73,4,2.715,3,,10:27:00
2023-07-05 10:28:00-04:00,2.65,2.65,2.64,2.64,41,2.6498,3,,10:28:00
2023-07-05 10:29:00-04:00,2.67,2.67,2.67,2.67,1,2.67,1,,10:29:00
2023-07-05 10:30:00-04:00,2.72,2.72,2.72,2.72,3,2.72,2,,10:30:00
2023-07-05 10:31:00-04:00,2.74,2.74,2.74,2.74,4,2.74,2,,10:31:00
2023-07-05 10:32:00-04:00,2.72,2.72,2.72,2.72,1,2.72,1,,10:32:00
2023-07-05 10:33:00-04:00,2.78,2.78,2.77,2.77,3,2.7733,3,,10:33:00
2023-07-05 10:34:00-04:00,2.74,2.74,2.73,2.73,4,2.7325,4,,10:34:00
2023-07-05 10:35:00-04:00,2.79,2.83,2.79,2.83,7,2.8214,3,,10:35:00
2023-07-05 10:36:00-04:00,2.79,2.83,2.79,2.83,7,2.8214,3,,10:36:00
2023-07-05 10:37:00-04:00,2.78,2.78,2.78,2.78,41,2.78,2,,10:37:00
2023-07-05 10:38:00-04:00,2.78,2.78,2.78,2.78,41,2.78,2,,10:38:00
2023-07-05 10:39:00-04:00,2.79,2.79,2.79,2.79,2,2.79,1,,10:39:00
2023-07-05 10:40:00-04:00,2.81,2.81,2.78,2.78,2,2.795,2,,10:40:00
2023-07-05 10:41:00-04:00,2.75,2.75,2.75,2.75,5,2.75,1,,10:41:00
2023-07-05 10:42:00-04:00,2.75,2.75,2.75,2.75,5,2.75,1,,10:42:00
2023-07-05 10:43:00-04:00,2.72,2.72,2.72,2.72,5,2.72,2,,10:43:00
2023-07-05 10:44:00-04:00,2.71,2.71,2.67,2.7,33,2.6818,7,,10:44:00
2023-07-05 10:45:00-04:00,2.7,2.71,2.7,2.7,12,2.7067,6,,10:45:00
2023-07-05 10:46:00-04:00,2.68,2.68,2.61,2.61,19,2.6305,3,,10:46:00
2023-07-05 10:47:00-04:00,2.62,2.62,2.61,2.61,5,2.614,3,,10:47:00
2023-07-05 10:48:00-04:00,2.55,2.55,2.5,2.5,11,2.54,4,,10:48:00
2023-07-05 10:49:00-04:00,2.59,2.59,2.59,2.59,2,2.59,1,,10:49:00
2023-07-05 10:50:00-04:00,2.59,2.64,2.59,2.64,17,2.6071,4,,10:50:00
2023-07-05 10:51:00-04:00,2.64,2.64,2.64,2.64,19,2.64,3,,10:51:00
2023-07-05 10:52:00-04:00,2.64,2.64,2.64,2.64,1,2.64,1,,10:52:00
2023-07-05 10:53:00-04:00,2.64,2.64,2.64,2.64,1,2.64,1,,10:53:00
