timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-05-01 09:30:00-04:00,2.86,2.98,2.86,2.96,4,2.945,4,,09:30:00
2023-05-01 09:31:00-04:00,2.99,2.99,2.99,2.99,2,2.99,1,,09:31:00
2023-05-01 09:32:00-04:00,2.95,2.95,2.92,2.92,3,2.94,2,,09:32:00
2023-05-01 09:33:00-04:00,3.01,3.01,2.99,2.99,3,2.9967,3,,09:33:00
2023-05-01 09:34:00-04:00,3.01,3.01,2.99,2.99,3,2.9967,3,,09:34:00
2023-05-01 09:35:00-04:00,3.0,3.0,3.0,3.0,2,3.0,1,,09:35:00
2023-05-01 09:36:00-04:00,2.96,2.96,2.95,2.95,2,2.955,2,,09:36:00
2023-05-01 09:37:00-04:00,2.96,2.96,2.95,2.95,2,2.955,2,,09:37:00
2023-05-01 09:38:00-04:00,3.05,3.16,3.05,3.16,83,3.0994,7,,09:38:00
2023-05-01 09:39:00-04:00,3.18,3.19,3.17,3.17,9,3.1778,4,,09:39:00
2023-05-01 09:40:00-04:00,3.18,3.2,3.18,3.2,48,3.1996,3,,09:40:00
2023-05-01 09:41:00-04:00,3.21,3.21,3.19,3.19,39,3.1985,10,,09:41:00
2023-05-01 09:42:00-04:00,3.22,3.22,3.18,3.18,16,3.2075,6,,09:42:00
2023-05-01 09:43:00-04:00,3.17,3.18,3.16,3.16,114,3.1785,12,,09:43:00
2023-05-01 09:44:00-04:00,3.15,3.15,3.14,3.14,5,3.148,2,,09:44:00
2023-05-01 09:45:00-04:00,3.21,3.25,3.16,3.25,14,3.2279,5,,09:45:00
2023-05-01 09:46:00-04:00,3.3,3.3,3.27,3.27,116,3.2709,9,,09:46:00
2023-05-01 09:47:00-04:00,3.33,3.35,3.33,3.35,21,3.331,3,,09:47:00
2023-05-01 09:48:00-04:00,3.4,3.4,3.38,3.38,19,3.3832,5,,09:48:00
2023-05-01 09:49:00-04:00,3.36,3.37,3.36,3.37,2,3.365,2,,09:49:00
2023-05-01 09:50:00-04:00,3.41,3.42,3.38,3.42,4,3.405,3,,09:50:00
2023-05-01 09:51:00-04:00,3.4,3.4,3.33,3.35,20,3.362,8,,09:51:00
2023-05-01 09:52:00-04:00,3.4,3.45,3.4,3.45,7,3.44,5,,09:52:00
2023-05-01 09:53:00-04:00,3.4,3.4,3.4,3.4,1,3.4,1,,09:53:00
2023-05-01 09:54:00-04:00,3.36,3.36,3.35,3.35,2,3.355,2,,09:54:00
2023-05-01 09:55:00-04:00,3.36,3.36,3.35,3.35,2,3.355,2,,09:55:00
2023-05-01 09:56:00-04:00,3.28,3.3,3.26,3.26,13,3.2892,3,,09:56:00
2023-05-01 09:57:00-04:00,3.32,3.32,3.32,3.32,2,3.32,2,,09:57:00
2023-05-01 09:58:00-04:00,3.3,3.3,3.3,3.3,28,3.3,3,,09:58:00
2023-05-01 09:59:00-04:00,3.26,3.29,3.26,3.29,53,3.2836,6,,09:59:00
2023-05-01 10:00:00-04:00,3.25,3.25,3.0,3.11,11,3.0982,7,,10:00:00
2023-05-01 10:01:00-04:00,3.12,3.12,3.1,3.1,2,3.11,2,,10:01:00
2023-05-01 10:02:00-04:00,3.15,3.19,3.15,3.17,18,3.1583,4,,10:02:00
2023-05-01 10:03:00-04:00,3.15,3.15,3.15,3.15,3,3.15,1,,10:03:00
