timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-03-23 09:30:00-04:00,4.6,4.61,4.39,4.39,26,4.52,11,,09:30:00
2023-03-23 09:31:00-04:00,4.34,4.39,4.34,4.37,15,4.3673,6,,09:31:00
2023-03-23 09:32:00-04:00,4.46,4.46,4.35,4.43,17,4.4253,6,,09:32:00
2023-03-23 09:33:00-04:00,4.35,4.35,4.35,4.35,5,4.35,1,,09:33:00
2023-03-23 09:34:00-04:00,4.36,4.4,4.36,4.4,5,4.372,3,,09:34:00
2023-03-23 09:35:00-04:00,4.43,4.48,4.43,4.48,8,4.4413,3,,09:35:00
2023-03-23 09:36:00-04:00,4.52,4.55,4.52,4.55,23,4.5461,8,,09:36:00
2023-03-23 09:37:00-04:00,4.37,4.37,4.37,4.37,3,4.37,1,,09:37:00
2023-03-23 09:38:00-04:00,4.43,4.43,4.43,4.43,1,4.43,1,,09:38:00
2023-03-23 09:39:00-04:00,4.43,4.43,4.43,4.43,1,4.43,1,,09:39:00
2023-03-23 09:40:00-04:00,4.46,4.69,4.46,4.69,36,4.6403,7,,09:40:00
2023-03-23 09:41:00-04:00,4.68,4.68,4.59,4.62,8,4.62,8,,09:41:00
2023-03-23 09:42:00-04:00,4.6,4.6,4.56,4.56,11,4.5827,4,,09:42:00
2023-03-23 09:43:00-04:00,4.54,4.54,4.1,4.1,11,4.1918,6,,09:43:00
2023-03-23 09:44:00-04:00,4.54,4.54,4.1,4.1,11,4.1918,6,,09:44:00
2023-03-23 09:45:00-04:00,4.07,4.15,4.05,4.15,4,4.105,3,,09:45:00
2023-03-23 09:46:00-04:00,4.07,4.18,4.04,4.18,13,4.1546,6,,09:46:00
2023-03-23 09:47:00-04:00,4.07,4.18,4.04,4.18,13,4.1546,6,,09:47:00
2023-03-23 09:48:00-04:00,4.41,4.41,4.41,4.41,1,4.41,1,,09:48:00
2023-03-23 09:49:00-04:00,4.28,4.28,4.25,4.25,3,4.26,2,,09:49:00
2023-03-23 09:50:00-04:00,4.14,4.23,4.14,4.23,69,4.1413,2,,09:50:00
2023-03-23 09:51:00-04:00,4.14,4.23,4.14,4.23,69,4.1413,2,,09:51:00
2023-03-23 09:52:00-04:00,4.14,4.23,4.14,4.23,69,4.1413,2,,09:52:00
2023-03-23 09:53:00-04:00,4.14,4.23,4.14,4.23,69,4.1413,2,,09:53:00
2023-03-23 09:54:00-04:00,4.14,4.23,4.14,4.23,69,4.1413,2,,09:54:00
2023-03-23 09:55:00-04:00,4.16,4.16,4.16,4.16,7,4.16,4,,09:55:00
2023-03-23 09:56:00-04:00,4.23,4.29,4.23,4.29,8,4.2825,3,,09:56:00
2023-03-23 09:57:00-04:00,4.26,4.26,4.26,4.26,1,4.26,1,,09:57:00
2023-03-23 09:58:00-04:00,4.18,4.18,4.18,4.18,5,4.18,1,,09:58:00
2023-03-23 09:59:00-04:00,4.14,4.15,4.1,4.15,21,4.1262,6,,09:59:00
2023-03-23 10:00:00-04:00,4.05,4.05,3.97,4.0,39,4.0013,14,,10:00:00
2023-03-23 10:01:00-04:00,3.97,3.99,3.95,3.95,5,3.974,5,,10:01:00
2023-03-23 10:02:00-04:00,3.86,3.95,3.86,3.93,31,3.9203,4,,10:02:00
2023-03-23 10:03:00-04:00,3.99,3.99,3.93,3.93,13,3.9431,6,,10:03:00
2023-03-23 10:04:00-04:00,3.95,4.12,3.94,4.12,40,4.0278,5,,10:04:00
2023-03-23 10:05:00-04:00,4.17,4.17,4.03,4.03,23,4.073,7,,10:05:00
2023-03-23 10:06:00-04:00,3.99,4.01,3.98,4.01,3,3.9933,3,,10:06:00
2023-03-23 10:07:00-04:00,4.01,4.03,4.01,4.03,3,4.0233,2,,10:07:00
2023-03-23 10:08:00-04:00,3.97,3.97,3.97,3.97,1,3.97,1,,10:08:00
2023-03-23 10:09:00-04:00,3.98,4.02,3.94,3.98,7,3.98,5,,10:09:00
2023-03-23 10:10:00-04:00,3.88,3.88,3.67,3.67,8,3.785,7,,10:10:00
2023-03-23 10:11:00-04:00,3.69,3.78,3.69,3.78,11,3.72,5,,10:11:00
2023-03-23 10:12:00-04:00,3.72,3.83,3.72,3.83,13,3.8031,6,,10:12:00
2023-03-23 10:13:00-04:00,3.72,3.83,3.72,3.83,13,3.8031,6,,10:13:00
2023-03-23 10:14:00-04:00,3.74,3.79,3.74,3.79,106,3.7872,2,,10:14:00
2023-03-23 10:15:00-04:00,3.7,3.7,3.58,3.58,9,3.6278,5,,10:15:00
2023-03-23 10:16:00-04:00,3.69,3.69,3.69,3.69,1,3.69,1,,10:16:00
2023-03-23 10:17:00-04:00,3.72,3.72,3.66,3.69,15,3.678,4,,10:17:00
2023-03-23 10:18:00-04:00,3.72,3.72,3.66,3.69,15,3.678,4,,10:18:00
2023-03-23 10:19:00-04:00,3.75,3.75,3.74,3.75,3,3.7467,3,,10:19:00
2023-03-23 10:20:00-04:00,3.84,3.85,3.84,3.85,2,3.845,2,,10:20:00
2023-03-23 10:21:00-04:00,3.8,3.93,3.8,3.93,2,3.865,2,,10:21:00
2023-03-23 10:22:00-04:00,3.96,3.96,3.93,3.93,51,3.9594,2,,10:22:00
2023-03-23 10:23:00-04:00,3.9,3.9,3.89,3.89,3,3.8967,2,,10:23:00
2023-03-23 10:24:00-04:00,3.88,3.88,3.81,3.81,3,3.8333,2,,10:24:00
2023-03-23 10:25:00-04:00,3.75,3.75,3.72,3.73,58,3.7233,8,,10:25:00
2023-03-23 10:26:00-04:00,3.68,3.68,3.68,3.68,1,3.68,1,,10:26:00
2023-03-23 10:27:00-04:00,3.56,3.56,3.56,3.56,1,3.56,1,,10:27:00
2023-03-23 10:28:00-04:00,3.65,3.65,3.65,3.65,14,3.65,3,,10:28:00
2023-03-23 10:29:00-04:00,3.73,3.79,3.73,3.77,3,3.7633,3,,10:29:00
2023-03-23 10:30:00-04:00,3.79,3.84,3.79,3.84,20,3.815,2,,10:30:00
2023-03-23 10:31:00-04:00,3.71,3.76,3.71,3.76,2,3.735,2,,10:31:00
2023-03-23 10:32:00-04:00,3.87,3.93,3.83,3.83,9,3.8967,5,,10:32:00
2023-03-23 10:33:00-04:00,3.87,3.95,3.87,3.93,31,3.9271,12,,10:33:00
2023-03-23 10:34:00-04:00,3.94,3.94,3.9,3.92,10,3.92,4,,10:34:00
2023-03-23 10:35:00-04:00,3.9,3.92,3.87,3.87,57,3.8753,6,,10:35:00
2023-03-23 10:36:00-04:00,3.83,3.94,3.83,3.93,12,3.9283,6,,10:36:00
