timestamp,open,high,low,close,volume,vwap,transactions,otc,time
2023-01-10 09:30:00-05:00,4.96,5.28,4.96,5.28,26,5.1577,12,,09:30:00
2023-01-10 09:31:00-05:00,5.07,5.42,5.04,5.3,118,5.248,11,,09:31:00
2023-01-10 09:32:00-05:00,5.36,5.62,5.36,5.59,100,5.4975,19,,09:32:00
2023-01-10 09:33:00-05:00,5.65,5.67,5.56,5.66,33,5.6476,10,,09:33:00
2023-01-10 09:34:00-05:00,5.7,5.93,5.7,5.91,15,5.8727,7,,09:34:00
2023-01-10 09:35:00-05:00,5.87,6.0,5.87,5.97,3,5.9467,3,,09:35:00
2023-01-10 09:36:00-05:00,5.89,5.89,5.79,5.79,6,5.8267,5,,09:36:00
2023-01-10 09:37:00-05:00,5.6,5.86,5.55,5.86,10,5.641,6,,09:37:00
2023-01-10 09:38:00-05:00,5.73,5.73,5.73,5.73,56,5.73,1,,09:38:00
2023-01-10 09:39:00-05:00,5.59,5.59,5.59,5.59,101,5.59,2,,09:39:00
2023-01-10 09:40:00-05:00,5.65,5.65,5.62,5.62,6,5.645,2,,09:40:00
2023-01-10 09:41:00-05:00,5.5,5.56,5.43,5.56,8,5.5287,4,,09:41:00
2023-01-10 09:42:00-05:00,5.39,5.39,5.39,5.39,5,5.39,2,,09:42:00
2023-01-10 09:43:00-05:00,5.39,5.39,5.39,5.39,5,5.39,2,,09:43:00
2023-01-10 09:44:00-05:00,5.58,5.58,5.53,5.55,24,5.5454,4,,09:44:00
2023-01-10 09:45:00-05:00,5.51,5.51,5.45,5.45,11,5.4555,2,,09:45:00
2023-01-10 09:46:00-05:00,5.37,5.37,5.06,5.13,24,5.15,7,,09:46:00
2023-01-10 09:47:00-05:00,4.97,5.1,4.97,5.1,9,5.0022,4,,09:47:00
2023-01-10 09:48:00-05:00,5.13,5.13,5.12,5.12,34,5.1229,6,,09:48:00
2023-01-10 09:49:00-05:00,5.19,5.3,5.19,5.3,3,5.2433,3,,09:49:00
2023-01-10 09:50:00-05:00,5.22,5.22,5.1,5.1,25,5.1692,5,,09:50:00
2023-01-10 09:51:00-05:00,5.1,5.1,5.09,5.09,6,5.0983,2,,09:51:00
2023-01-10 09:52:00-05:00,5.05,5.05,4.85,4.85,16,4.9669,5,,09:52:00
2023-01-10 09:53:00-05:00,5.25,5.59,5.25,5.59,19,5.3353,6,,09:53:00
2023-01-10 09:54:00-05:00,5.63,5.69,5.6,5.69,7,5.64,5,,09:54:00
2023-01-10 09:55:00-05:00,5.65,5.75,5.58,5.75,18,5.7072,5,,09:55:00
2023-01-10 09:56:00-05:00,5.75,5.75,5.69,5.69,2,5.72,2,,09:56:00
2023-01-10 09:57:00-05:00,5.47,5.63,5.47,5.63,5,5.598,2,,09:57:00
2023-01-10 09:58:00-05:00,5.7,5.82,5.57,5.57,18,5.6828,6,,09:58:00
2023-01-10 09:59:00-05:00,5.55,5.55,5.55,5.55,1,5.55,1,,09:59:00
